opratDate,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,19,45,1,1825.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,20,00,3,1835.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,20,15,1,1722.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,20,30,2,2087.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,20,45,1,1864.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,21,15,3,1706.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,21,30,3,1638.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,22,00,2,1596.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,22,15,1,1694.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,22,30,1,2688.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,22,45,1,2084.0
20260224,11,서울특별시,11110,종로구,1111011900,세종로,11,서울특별시,11200,성동구,1120011500,성수동2가,23,00,2,1723.0
20260224,11,서울특별시,11110,종로구,1111012100,신문로2가,11,서울특별시,11200,성동구,1120011500,성수동2가,08,00,1,1709.0
20260224,11,서울특별시,11110,종로구,1111012100,신문로2가,11,서울특별시,11200,성동구,1120011500,성수동2가,18,00,1,1766.0
20260224,11,서울특별시,11110,종로구,1111012100,신문로2가,11,서울특별시,11200,성동구,1120011500,성수동2가,19,00,1,2012.0
20260224,11,서울특별시,11110,종로구,1111012500,중학동,11,서울특별시,11200,성동구,1120011500,성수동2가,14,00,2,1998.0
20260224,11,서울특별시,11110,종로구,1111012900,견지동,11,서울특별시,11200,성동구,1120011500,성수동2가,16,00,1,1748.0
20260224,11,서울특별시,11110,종로구,1111012900,견지동,11,서울특별시,11200,성동구,1120011500,성수동2가,17,30,1,1452.0
20260224,11,서울특별시,11110,종로구,1111012900,견지동,11,서울특별시,11200,성동구,1120011500,성수동2가,18,15,1,1387.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,05,30,1,1639.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,05,45,1,1793.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,07,15,1,1350.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,07,45,1,1632.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,08,15,2,1578.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,08,30,3,1607.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,09,00,7,1677.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,09,15,2,1584.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,09,30,15,1590.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,09,45,4,2080.0
20260224,11,서울특별시,11110,종로구,1111013400,경운동,11,서울특별시,11200,성동구,1120011500,성수동2가,10,15,2,1501.0
